scientific_name,name_da,status,source,license,attribution,issues,recommendations
"Mergellus albellus","Lille skallesluger","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Mergellus%20albellus; Document original source or replace with properly attributed image"
"Spatula querquedula","Atlingand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Spatula%20querquedula; Document original source or replace with properly attributed image"
"Tadorna tadorna","Gravand","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Tadorna%20tadorna; Document original source or replace with properly attributed image"
"Fulica atra","Blishøne","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Fulica%20atra; Document original source or replace with properly attributed image"
"Gallinula chloropus","Grønbenet rørhøne","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Gallinula%20chloropus; Document original source or replace with properly attributed image"
"Rallus aquaticus","Vandrikse","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Rallus%20aquaticus; Document original source or replace with properly attributed image"
"Podiceps cristatus","Toppet lappedykker","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Podiceps%20cristatus; Document original source or replace with properly attributed image"
"Tachybaptus ruficollis","Lille lappedykker","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Tachybaptus%20ruficollis; Document original source or replace with properly attributed image"
"Podiceps grisegena","Gråstrubet lappedykker","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Podiceps%20grisegena; Document original source or replace with properly attributed image"
"Podiceps nigricollis","Sorthalset lappedykker","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Podiceps%20nigricollis; Document original source or replace with properly attributed image"
"Ardea cinerea","Fiskehejre","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Ardea%20cinerea; Document original source or replace with properly attributed image"
"Phalacrocorax carbo","Skarv","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Phalacrocorax%20carbo; Document original source or replace with properly attributed image"
"Botaurus stellaris","Rørdrum","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Botaurus%20stellaris; Document original source or replace with properly attributed image"
